srcStateName,srcYear,Region-wise installation of electricity,"Energy Value Type ( Potential, Capacity, Generation )",Types of Energy Sources,Nature of Energy Sources,Values for renewable electricity,"Types of Usage (Utility ,Captive)",Type of Energy Sector,YearCode,Year
BIHAR,2020,,Generation,COAL,NON-RENEWABLE,35360.76,UTILITY,CENTRAL,2020,"Financial Year (Apr - Mar), 2020"
JHARKHAND,2012,,Generation,HYDRO,NON-RENEWABLE,296.12,UTILITY,CENTRAL,2012,"Financial Year (Apr - Mar), 2012"
RAJASTHAN,2015,NR,Capacity,SMALL HYDRO,,23.85,,,2015,"Financial Year (Apr - Mar), 2015"
CHANDIGARH,2018,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
TRIPURA,2020,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
MAHARASHTRA,2016,,Generation,NATURAL GAS,NON-RENEWABLE,1179.74,UTILITY,PRIVATE,2016,"Financial Year (Apr - Mar), 2016"
GOA,2011,,Generation,NATURAL GAS,NON-RENEWABLE,292.28,UTILITY,PRIVATE,2011,"Financial Year (Apr - Mar), 2011"
OTHERS,2013,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
PUNJAB,2011,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
KERALA,2017,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
HIMACHAL PRADESH,2020,NR,Capacity,SOLAR,,32.93,,,2020,"Financial Year (Apr - Mar), 2020"
MANIPUR,2019,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
TRIPURA,2016,NER,Capacity,SOLAR,,5,,,2016,"Financial Year (Apr - Mar), 2016"
DADRA & NAGAR HAVELI,2020,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
PUNJAB,2013,NR,Capacity,SOLAR,,9.325,,,2013,"Financial Year (Apr - Mar), 2013"
GUJARAT,2018,,Generation,NATURAL GAS,NON-RENEWABLE,7188.93,UTILITY,PRIVATE,2018,"Financial Year (Apr - Mar), 2018"
CHANDIGARH,2017,NR,Potential,WASTE,RENEWABLE,6,,,2017,"Financial Year (Apr - Mar), 2017"
ODISHA,2013,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
MADHYA PRADESH,2016,,Generation,COAL,NON-RENEWABLE,18597.82,UTILITY,STATE,2016,"Financial Year (Apr - Mar), 2016"
GUJARAT,2018,WR,Potential,BIOMASS,RENEWABLE,1226,,,2018,"Financial Year (Apr - Mar), 2018"
UTTAR PRADESH,2011,,Generation,COAL,NON-RENEWABLE,57446.6,UTILITY,CENTRAL,2011,"Financial Year (Apr - Mar), 2011"
JAMMU & KASHMIR,2015,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
CHHATTISGARH,2016,,Generation,SMALL HYDRO,RENEWABLE,30.41,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
MIZORAM,2017,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
HARYANA,2019,NR,Potential,COGENERATION-BAGASSE,RENEWABLE,350,,,2019,"Financial Year (Apr - Mar), 2019"
DELHI,2013,,Generation,COAL,NON-RENEWABLE,792.77,UTILITY,STATE,2013,"Financial Year (Apr - Mar), 2013"
LAKSHADWEEP,2011,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2020,ER,Potential,WASTE,RENEWABLE,10,,,2020,"Financial Year (Apr - Mar), 2020"
KERALA,2020,,Generation,SOLAR,RENEWABLE,143.592,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
MEGHALAYA,2020,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
GUJARAT,2020,,Generation,NATURAL GAS,NON-RENEWABLE,8387.859,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
A & N ISLANDS,2017,,Generation,DIESEL,NON-RENEWABLE,215.56,UTILITY,STATE,2017,"Financial Year (Apr - Mar), 2017"
DELHI,2019,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
MIZORAM,2011,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
KARNATAKA,2018,,Generation,WIND,RENEWABLE,7410.2,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
PUNJAB,2014,,Generation,WIND,RENEWABLE,34.04,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
GOA,2015,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
ODISHA,2018,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
WEST BENGAL,2019,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
CHHATTISGARH,2019,WR,Capacity,SOLAR,,231.35,,,2019,"Financial Year (Apr - Mar), 2019"
WEST BENGAL,2018,,Generation,SOLAR,RENEWABLE,0.162,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
ANDHRA PRADESH,2020,,Generation,HYDRO,NON-RENEWABLE,3013.43,UTILITY,STATE,2020,"Financial Year (Apr - Mar), 2020"
DADRA & NAGAR HAVELI,2014,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
GOA,2020,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
UTTAR PRADESH,2014,,Generation,COAL,NON-RENEWABLE,25885.49,UTILITY,STATE,2014,"Financial Year (Apr - Mar), 2014"
RAJASTHAN,2013,NR,Capacity,SMALL HYDRO,,23.85,,,2013,"Financial Year (Apr - Mar), 2013"
TRIPURA,2013,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
TAMILNADU,2015,,Generation,SMALL HYDRO,RENEWABLE,214.015,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
UTTAR PRADESH,2019,NR,Potential,SOLAR,RENEWABLE,22830,,,2019,"Financial Year (Apr - Mar), 2019"
MIZORAM,2012,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
JHARKHAND,2013,ER,Capacity,SMALL HYDRO,,4.05,,,2013,"Financial Year (Apr - Mar), 2013"
ARUNACHAL PRADESH,2013,,Generation,HYDRO,NON-RENEWABLE,1239.94,UTILITY,CENTRAL,2013,"Financial Year (Apr - Mar), 2013"
HARYANA,2016,,Generation,DIESEL,NON-RENEWABLE,328.08,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2012,NR,Capacity,SOLAR,,197.65,,,2012,"Financial Year (Apr - Mar), 2012"
KERALA,2015,,Generation,NATURAL GAS,NON-RENEWABLE,819.12,UTILITY,CENTRAL,2015,"Financial Year (Apr - Mar), 2015"
JHARKHAND,2020,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
PUNJAB,2020,,Generation,WIND,RENEWABLE,16.9,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
MIZORAM,2018,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
LAKSHADWEEP,2020,SR,Potential,WIND,RENEWABLE,31,,,2020,"Financial Year (Apr - Mar), 2020"
UTTARAKHAND,2014,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
TAMILNADU,2017,,Generation,HYDRO,NON-RENEWABLE,2397.12,UTILITY,STATE,2017,"Financial Year (Apr - Mar), 2017"
DIU & DAMAN,2013,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
GOA,2015,WR,Potential,BIOMASS,RENEWABLE,26,,,2015,"Financial Year (Apr - Mar), 2015"
ODISHA,2016,,Generation,HYDRO,NON-RENEWABLE,4910.34,UTILITY,STATE,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2017,,Generation,BIOMASS-BAGASSE,RENEWABLE,272.966,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
BIHAR,2014,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
ODISHA,2012,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
KERALA,2019,,Generation,SOLAR,RENEWABLE,110.842,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
RAJASTHAN,2014,,Generation,COAL,NON-RENEWABLE,8075.09,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
TAMILNADU,2018,,Generation,NATURAL GAS,NON-RENEWABLE,851.58,UTILITY,PRIVATE,2018,"Financial Year (Apr - Mar), 2018"
DELHI,2020,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
ODISHA,2019,,Generation,SMALL HYDRO,RENEWABLE,266.1,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
PUNJAB,2016,,Generation,HYDRO,NON-RENEWABLE,852.38,UTILITY,CENTRAL,2016,"Financial Year (Apr - Mar), 2016"
PUNJAB,2015,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
MANIPUR,2011,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
MIZORAM,2019,,Generation,SOLAR,RENEWABLE,0.121,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
CHANDIGARH,2011,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
CHANDIGARH,2017,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
PUNJAB,2018,,Generation,DIESEL,NON-RENEWABLE,383.453,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
TRIPURA,2018,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
GOA,2016,WR,Potential,WIND,RENEWABLE,0.84,,,2016,"Financial Year (Apr - Mar), 2016"
JHARKHAND,2017,ER,Potential,WASTE,RENEWABLE,10,,,2017,"Financial Year (Apr - Mar), 2017"
GUJARAT,2017,,Generation,NATURAL GAS,NON-RENEWABLE,948.27,UTILITY,STATE,2017,"Financial Year (Apr - Mar), 2017"
DADRA & NAGAR HAVELI,2017,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
NAGALAND,2016,NER,Capacity,SMALL HYDRO,,30.67,,,2016,"Financial Year (Apr - Mar), 2016"
OTHERS,2013,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
HARYANA,2018,,Generation,COAL,NON-RENEWABLE,877.684,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
TELANGANA,2018,SR,Potential,SOLAR,RENEWABLE,20410,,,2018,"Financial Year (Apr - Mar), 2018"
UTTARAKHAND,2013,,Generation,SOLAR,RENEWABLE,0.72,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
BIHAR,2020,ER,Capacity,COGENERATION-BAGASSE,,121.2,,,2020,"Financial Year (Apr - Mar), 2020"
UTTAR PRADESH,2017,,Generation,COAL,NON-RENEWABLE,26847.53,UTILITY,PRIVATE,2017,"Financial Year (Apr - Mar), 2017"
ASSAM,2017,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
DADRA & NAGAR HAVELI,2017,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
DELHI,2017,NR,Capacity,WASTE,,16,,,2017,"Financial Year (Apr - Mar), 2017"
A & N ISLANDS,2011,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
PUDUCHERRY,2020,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
GUJARAT,2020,WR,Capacity,SOLAR,,2948.37,,,2020,"Financial Year (Apr - Mar), 2020"
A & N ISLANDS,2020,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
MAHARASHTRA,2013,WR,Capacity,WASTE,,9.72,,,2013,"Financial Year (Apr - Mar), 2013"
ARUNACHAL PRADESH,2020,,Generation,COAL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
PUNJAB,2019,,Generation,COAL,NON-RENEWABLE,4155.14,UTILITY,STATE,2019,"Financial Year (Apr - Mar), 2019"
TAMILNADU,2014,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
A & N ISLANDS,2017,,Generation,DIESEL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
RAJASTHAN,2020,,Generation,NATURAL GAS,NON-RENEWABLE,731.37,UTILITY,STATE,2020,"Financial Year (Apr - Mar), 2020"
NAGALAND,2015,NER,Capacity,SMALL HYDRO,,29.67,,,2015,"Financial Year (Apr - Mar), 2015"
DELHI,2014,,Generation,WASTE,RENEWABLE,124.868,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
PUNJAB,2012,,Generation,SMALL HYDRO,RENEWABLE,443.051,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
TELANGANA,2017,,Generation,DIESEL,NON-RENEWABLE,111.415,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
GOA,2011,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
JAMMU & KASHMIR,2017,,Generation,HYDRO,NON-RENEWABLE,4789.6,UTILITY,STATE,2017,"Financial Year (Apr - Mar), 2017"
ANDHRA PRADESH,2016,,Generation,SOLAR,RENEWABLE,7.31,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2017,NR,Potential,WASTE,RENEWABLE,62,,,2017,"Financial Year (Apr - Mar), 2017"
TAMILNADU,2020,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
MAHARASHTRA,2020,,Generation,COAL,NON-RENEWABLE,45640.85,UTILITY,STATE,2020,"Financial Year (Apr - Mar), 2020"
KERALA,2020,SR,Capacity,COGENERATION-BAGASSE,,0.72,,,2020,"Financial Year (Apr - Mar), 2020"
MADHYA PRADESH,2020,,Generation,SMALL HYDRO,RENEWABLE,246.163,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
MANIPUR,2016,,Generation,COAL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
UTTARAKHAND,2020,,Generation,BIOMASS-BAGASSE,RENEWABLE,110.26,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
ARUNACHAL PRADESH,2018,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
KARNATAKA,2015,SR,Capacity,WIND,,2638.2,,,2015,"Financial Year (Apr - Mar), 2015"
JAMMU & KASHMIR,2014,,Generation,HYDRO,NON-RENEWABLE,8895.6,UTILITY,CENTRAL,2014,"Financial Year (Apr - Mar), 2014"
ASSAM,2018,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
JHARKHAND,2018,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
KARNATAKA,2019,SR,Capacity,SMALL HYDRO,,1254.73,,,2019,"Financial Year (Apr - Mar), 2019"
MADHYA PRADESH,2013,,Generation,HYDRO,NON-RENEWABLE,3023.79,UTILITY,STATE,2013,"Financial Year (Apr - Mar), 2013"
KERALA,2020,SR,Capacity,WIND,,62.5,,,2020,"Financial Year (Apr - Mar), 2020"
UTTAR PRADESH,2019,NR,Potential,WASTE,RENEWABLE,176,,,2019,"Financial Year (Apr - Mar), 2019"
SIKKIM,2019,ER,Capacity,SOLAR,,0.01,,,2019,"Financial Year (Apr - Mar), 2019"
CHHATTISGARH,2018,,Generation,COAL,NON-RENEWABLE,20834.05,UTILITY,STATE,2018,"Financial Year (Apr - Mar), 2018"
WEST BENGAL,2014,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
TRIPURA,2016,,Generation,SMALL HYDRO,RENEWABLE,18.473,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
BIHAR,2016,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
UTTAR PRADESH,2015,,Generation,COAL,NON-RENEWABLE,9106.32,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
PUNJAB,2020,NR,Potential,WIND,RENEWABLE,278,,,2020,"Financial Year (Apr - Mar), 2020"
GOA,2020,WR,Potential,WIND,RENEWABLE,8,,,2020,"Financial Year (Apr - Mar), 2020"
DIU & DAMAN,2013,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
MIZORAM,2017,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
MANIPUR,2017,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
PUNJAB,2017,,Generation,COAL,NON-RENEWABLE,6211.33,UTILITY,STATE,2017,"Financial Year (Apr - Mar), 2017"
PUNJAB,2015,NR,Potential,SMALL HYDRO,RENEWABLE,441,,,2015,"Financial Year (Apr - Mar), 2015"
MADHYA PRADESH,2019,WR,Potential,BIOMASS,RENEWABLE,1364,,,2019,"Financial Year (Apr - Mar), 2019"
RAJASTHAN,2020,,Generation,DIESEL,NON-RENEWABLE,26.775,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
DADRA & NAGAR HAVELI,2011,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
JAMMU & KASHMIR,2019,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
CHHATTISGARH,2019,,Generation,HYDRO,NON-RENEWABLE,243.08,UTILITY,STATE,2019,"Financial Year (Apr - Mar), 2019"
ARUNACHAL PRADESH,2020,NER,Potential,SMALL HYDRO,RENEWABLE,2065,,,2020,"Financial Year (Apr - Mar), 2020"
UTTARAKHAND,2013,,Generation,HYDRO,NON-RENEWABLE,4677.87,UTILITY,STATE,2013,"Financial Year (Apr - Mar), 2013"
OTHERS,2011,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
PUNJAB,2018,,Generation,HYDRO,NON-RENEWABLE,1002.31,UTILITY,CENTRAL,2018,"Financial Year (Apr - Mar), 2018"
KARNATAKA,2020,,Generation,COAL,NON-RENEWABLE,4604.36,UTILITY,CENTRAL,2020,"Financial Year (Apr - Mar), 2020"
JHARKHAND,2015,,Generation,NATURAL GAS,NON-RENEWABLE,129.32,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
A & N ISLANDS,2016,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
ODISHA,2019,,Generation,HYDRO,NON-RENEWABLE,6777.45,UTILITY,STATE,2019,"Financial Year (Apr - Mar), 2019"
MANIPUR,2018,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
UTTAR PRADESH,2017,,Generation,SMALL HYDRO,RENEWABLE,27.829,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
KARNATAKA,2017,,Generation,HYDRO,NON-RENEWABLE,75.147,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
OTHERS,2012,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
MEGHALAYA,2015,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
A & N ISLANDS,2011,,Generation,SMALL HYDRO,RENEWABLE,12.46,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
TAMILNADU,2013,,Generation,DIESEL,NON-RENEWABLE,1739.37,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
UTTARAKHAND,2014,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
MANIPUR,2015,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
JAMMU & KASHMIR,2011,,Generation,COAL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
GOA,2012,,Generation,NATURAL GAS,NON-RENEWABLE,277.09,UTILITY,PRIVATE,2012,"Financial Year (Apr - Mar), 2012"
KERALA,2015,,Generation,COAL,NON-RENEWABLE,207.69,UTILITY,STATE,2015,"Financial Year (Apr - Mar), 2015"
MANIPUR,2014,,Generation,COAL,NON-RENEWABLE,0,UTILITY,STATE,2014,"Financial Year (Apr - Mar), 2014"
TAMILNADU,2015,,Generation,HYDRO,NON-RENEWABLE,5058.97,UTILITY,STATE,2015,"Financial Year (Apr - Mar), 2015"
PUNJAB,2013,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
PUNJAB,2011,,Generation,SMALL HYDRO,RENEWABLE,443.051,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
LAKSHADWEEP,2018,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
LAKSHADWEEP,2020,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
DELHI,2017,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
ASSAM,2015,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
WEST BENGAL,2018,,Generation,HYDRO,NON-RENEWABLE,1282.02,UTILITY,STATE,2018,"Financial Year (Apr - Mar), 2018"
TAMILNADU,2017,SR,Capacity,SMALL HYDRO,,123.05,,,2017,"Financial Year (Apr - Mar), 2017"
MIZORAM,2016,,Generation,DIESEL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2020,NR,Potential,WASTE,RENEWABLE,62,,,2020,"Financial Year (Apr - Mar), 2020"
KERALA,2018,SR,Potential,WASTE,RENEWABLE,36,,,2018,"Financial Year (Apr - Mar), 2018"
SIKKIM,2016,,Generation,HYDRO,NON-RENEWABLE,496.49,UTILITY,PRIVATE,2016,"Financial Year (Apr - Mar), 2016"
UTTARAKHAND,2015,,Generation,HYDRO,NON-RENEWABLE,1815.93,UTILITY,PRIVATE,2015,"Financial Year (Apr - Mar), 2015"
MADHYA PRADESH,2013,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
NAGALAND,2014,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
GOA,2016,,Generation,NATURAL GAS,NON-RENEWABLE,66.45,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
TAMILNADU,2016,,Generation,COAL,NON-RENEWABLE,6273.58,UTILITY,PRIVATE,2016,"Financial Year (Apr - Mar), 2016"
KERALA,2020,,Generation,BIOMASS-BAGASSE,RENEWABLE,11.034,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
PUNJAB,2020,,Generation,SOLAR,RENEWABLE,19.011,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
MAHARASHTRA,2020,WR,Capacity,SMALL HYDRO,,379.575,,,2020,"Financial Year (Apr - Mar), 2020"
WEST BENGAL,2019,,Generation,DIESEL,NON-RENEWABLE,62.321,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
UTTAR PRADESH,2015,NR,Capacity,SMALL HYDRO,,25.1,,,2015,"Financial Year (Apr - Mar), 2015"
ARUNACHAL PRADESH,2018,NER,Potential,BIOMASS,RENEWABLE,9,,,2018,"Financial Year (Apr - Mar), 2018"
RAJASTHAN,2019,,Generation,NATURAL GAS,NON-RENEWABLE,1019.01,UTILITY,STATE,2019,"Financial Year (Apr - Mar), 2019"
TELANGANA,2016,,Generation,SOLAR,RENEWABLE,4.35,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
MADHYA PRADESH,2019,,Generation,SMALL HYDRO,RENEWABLE,145.471,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
NAGALAND,2016,,Generation,COAL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
KARNATAKA,2011,,Generation,SOLAR,RENEWABLE,7.742,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
ASSAM,2013,,Generation,SMALL HYDRO,RENEWABLE,54.124,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
UTTAR PRADESH,2019,NR,Capacity,SOLAR,,960.1,,,2019,"Financial Year (Apr - Mar), 2019"
SIKKIM,2016,ER,Capacity,SMALL HYDRO,,52.11,,,2016,"Financial Year (Apr - Mar), 2016"
